"Título","Autor","Ano de publicação","Número de páginas"
"Harry Potter e a Pedra Filosofal","J.K.Rowling","1997","208"
"Harry Potter e a Câmara Secreta","J.K.Rowling","1998","224"
"Harry Potter e o Prisioneiro de Azkaban","J.K.Rowling","1999","318"
"Harry Potter e o Cálice de Fogo","J.K.Rowling","2000","548"
"Harry Potter e a Ordem da Fênix","J.K.Rowling","2003","702"
"Harry Potter e o Enigma do Príncipe","J.K.Rowling","2005","501"
"Harry Potter e as Relíquias da Morte","J.K.Rowling","2007","607"
"Mais Esperto que o diabo: O Mistério Revelado","Napoleon Hill","2019","208"
"O Homem Mais Rico da Babilônia","George s. Clason", "2017","160"
"Jogos Vorazes","Suzanne Collins","2008","400"
